Method,DockQ_AbAg_mean,DockQ_AbAg_median,DockQ_AbAg_std,DockQ_AbAg_n,DockQ_AB_mean,DockQ_AB_median,DockQ_AB_std,DockQ_AB_n,DockQ_AC_mean,DockQ_AC_median,DockQ_AC_std,DockQ_AC_n,DockQ_BC_mean,DockQ_BC_median,DockQ_BC_std,DockQ_BC_n,iRMSD_AB_mean,iRMSD_AB_median,iRMSD_AB_std,iRMSD_AB_n,fnat_AB_mean,fnat_AB_median,fnat_AB_std,fnat_AB_n,iptm_mean,iptm_median,iptm_std,iptm_n
B0: Unconstrained,0.1793,0.0383,0.2655,47,0.1831,0.0368,0.2681,47,0.1754,0.0210,0.2651,47,0.6548,0.6446,0.0873,47,11.5222,11.2046,8.1449,47,0.1813,0.0000,0.2651,47,0.7375,0.7417,0.1411,47
B1: Contact restraints,0.2914,0.0972,0.2931,46,0.2951,0.1090,0.2947,46,0.2877,0.1233,0.2962,46,0.6660,0.6490,0.0776,46,7.6322,6.7594,6.4517,46,0.2886,0.1687,0.2884,46,0.8341,0.8614,0.0961,46
B2: Pocket restraints,0.1896,0.0381,0.2719,36,0.1958,0.0349,0.2775,36,0.1834,0.0223,0.2693,36,0.6509,0.6329,0.0849,36,11.2562,11.3189,8.2800,36,0.1840,0.0000,0.2662,36,0.7940,0.8139,0.1208,36
NF_V2: FK Particles v2,0.1724,0.0414,0.2540,33,0.1724,0.0461,0.2489,33,0.1725,0.0289,0.2649,33,0.6537,0.6401,0.0878,33,11.0811,9.1653,8.2406,33,0.1624,0.0149,0.2469,33,0.7402,0.6996,0.1236,33
